cycles,lut utilization,FF utilization,BRAM utilization,DSP utilization,URAM utilization,__PARA__L0,__PARA__L1,__PARA__L2,__PARA__L3,__PIPE__L0,__PIPE__L2,__TILE__L0,__TILE__L2,step
461231 (1.845ms),9031 (~0%),7483 (~0%),78 (1%),22 (~0%),4 (~0%),1,1,1,1,off,off,1,1,0
18339 (0.073ms),179724 (15%),159803 (6%),1966 (45%),663 (9%),2 (~0%),60,1,1,1,off,off,1,1,1
13123 (0.052ms),1173433 (99%),1378920 (58%),1726 (39%),9270 (135%),2 (~0%),60,1,1,14,off,off,1,1,2
,,,,,,60,7,1,14,off,off,1,1,3
,,,,,,60,7,4,14,off,off,1,1,4
,,,,,,60,7,10,14,off,off,1,1,5
,,,,,,60,7,16,14,off,off,1,1,6
