cycles,lut utilization,FF utilization,BRAM utilization,DSP utilization,URAM utilization,__PARA__L0,__PARA__L1,__PARA__L2,__PARA__L3,__PIPE__L0,__PIPE__L2,__TILE__L0,__TILE__L2,step,benchmark,max util.,__PARA__L4,__PARA__L5,__PIPE__L1,__PIPE__L3,__PIPE__L4,__TILE__L1,__TILE__L3,__TILE__L4,__PARA__L6,__PARA__L7,__PARA__L9,__PIPE__L5,__PIPE__L6,__TILE__L5,__TILE__L6,__PARA__L10,__PARA__L8,__PIPE__L10,__PIPE__L7,__PIPE__L8,__PIPE__L9,__TILE__L10,__TILE__L7,__TILE__L8,__TILE__L9,__PARA__L11,__PARA__L12,__PIPE__L12,__PIPE__L13,__TILE__L12,__TILE__L13
768489,0.01,0.0,0.16,0.0,0.0,,,,,,,,,1,bradybench_5,0.16,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2147483647,2147483647.0,2147483647.0,2147483647.0,2147483647.0,2147483647.0,,,,,,,,,2,bradybench_5,2147483647.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2147483647,2147483647.0,2147483647.0,2147483647.0,2147483647.0,2147483647.0,,,,,,,,,3,bradybench_5,2147483647.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
768489,0.01,0.0,0.16,0.0,0.0,,,,,,,,,4,bradybench_5,0.16,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2147483647,2147483647.0,2147483647.0,2147483647.0,2147483647.0,2147483647.0,,,,,,,,,5,bradybench_5,2147483647.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2147483647,2147483647.0,2147483647.0,2147483647.0,2147483647.0,2147483647.0,,,,,,,,,6,bradybench_5,2147483647.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2147483647,2147483647.0,2147483647.0,2147483647.0,2147483647.0,2147483647.0,,,,,,,,,7,bradybench_5,2147483647.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2147483647,2147483647.0,2147483647.0,2147483647.0,2147483647.0,2147483647.0,,,,,,,,,8,bradybench_5,2147483647.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27396591,0.13,0.08,0.23,0.08,0.06,,1.0,1.0,1.0,off,off,1.0,1.0,0,bradybench_7,0.23,1.0,1.0,off,off,off,1.0,1.0,1.0,1.0,1.0,1.0,off,off,1.0,1.0,1.0,1.0,off,off,off,off,1.0,1.0,1.0,1.0,,,,,,
27609396,0.13,0.08,0.23,0.08,0.06,,1.0,26.0,1.0,off,off,1.0,1.0,1,bradybench_7,0.23,1.0,1.0,off,off,off,1.0,1.0,1.0,1.0,1.0,1.0,off,off,1.0,1.0,1.0,1.0,off,off,off,off,1.0,1.0,1.0,1.0,,,,,,
27670655,0.19,0.11,0.32,0.04,0.0,,6.0,26.0,1.0,off,off,1.0,1.0,2,bradybench_7,0.32,1.0,1.0,off,off,off,1.0,1.0,1.0,1.0,1.0,1.0,off,off,1.0,1.0,1.0,1.0,off,off,off,off,1.0,1.0,1.0,1.0,,,,,,
852112017,0.01,0.0,0.25,0.0,0.0,1.0,,1.0,1.0,off,,1.0,,0,bradybench_9,0.25,1.0,1.0,off,off,off,1.0,1.0,1.0,1.0,1.0,,off,,1.0,,,,,,,,,,,,,,,,,
1063532450,0.01,0.0,0.33,0.0,0.0,1.0,,1.0,32.0,off,,1.0,,1,bradybench_9,0.33,1.0,1.0,off,off,off,1.0,1.0,1.0,1.0,1.0,,off,,1.0,,,,,,,,,,,,,,,,,
2147483647,2147483647.0,2147483647.0,2147483647.0,2147483647.0,2147483647.0,1.0,,1.0,256.0,off,,1.0,,2,bradybench_9,2147483647.0,1.0,1.0,off,off,off,1.0,1.0,1.0,1.0,1.0,,off,,1.0,,,,,,,,,,,,,,,,,
532969,0.0,0.0,0.01,0.0,0.0,,,,,off,off,1.0,1.0,0,bradybench_16,0.01,,,off,off,,1.0,,,,,,off,off,1.0,1.0,,,,off,,,,,,,,,,,,
2147483647,2147483647.0,2147483647.0,2147483647.0,2147483647.0,2147483647.0,,,,,off,off,1.0,1.0,1,bradybench_16,2147483647.0,,,flatten,off,,1.0,,,,,,off,off,1.0,1.0,,,,off,,,,,,,,,,,,
1626775,0.0,0.0,0.03,0.0,0.0,1.0,1.0,1.0,1.0,off,,1.0,,0,bradybench_17,0.03,1.0,,off,off,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
1628235,0.01,0.0,0.02,0.0,0.0,1.0,1.0,1.0,64.0,off,,1.0,,1,bradybench_17,0.02,1.0,,off,off,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2147483647,0.98,1.03,0.02,2.99,0.0,1.0,1.0,1.0,64.0,off,,1.0,,2,bradybench_17,2.99,64.0,,off,off,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
329803,0.02,0.01,0.02,0.0,0.0,1.0,1.0,1.0,64.0,off,,1.0,,3,bradybench_17,0.02,16.0,,off,off,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
5452,0.09,0.03,0.02,0.03,0.0,1.0,1.0,,,off,off,1.0,1.0,0,bradybench_18,0.09,,1.0,off,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
31693,0.05,0.02,0.03,0.03,0.0,32.0,1.0,,,off,off,1.0,1.0,1,bradybench_18,0.05,,1.0,off,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
59342,0.01,0.0,0.03,0.0,0.0,32.0,16.0,,,off,off,1.0,1.0,2,bradybench_18,0.03,,1.0,off,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
55502,0.08,0.04,0.02,0.08,0.0,32.0,16.0,,,off,off,1.0,1.0,3,bradybench_18,0.08,,32.0,off,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
55502,0.08,0.04,0.02,0.08,0.0,32.0,32.0,,,off,off,1.0,1.0,4,bradybench_18,0.08,,32.0,off,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
55374,0.08,0.04,0.02,0.08,0.0,128.0,32.0,,,off,off,1.0,1.0,5,bradybench_18,0.08,,32.0,off,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2147483647,0.89,0.45,0.02,0.7,0.0,128.0,32.0,,,flatten,off,1.0,1.0,6,bradybench_18,0.89,,32.0,off,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
54296,0.07,0.03,0.02,0.07,0.0,128.0,32.0,,,,,1.0,1.0,7,bradybench_18,0.07,,32.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
48263191,0.01,0.0,0.06,0.0,0.0,,,1.0,,off,,1.0,,0,bradybench_19,0.06,1.0,1.0,off,off,off,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
48304151,0.01,0.0,0.06,0.0,0.0,,,1.0,,off,,1.0,,1,bradybench_19,0.06,16.0,1.0,off,off,off,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
34337111,0.09,0.03,0.06,0.03,0.0,,,1.0,,off,,1.0,,2,bradybench_19,0.09,16.0,1.0,off,off,off,1.0,1.0,1.0,64.0,1.0,,,,,,,,,,,,,,,,,,,,,
6505624,0.1,0.03,0.04,0.03,0.01,,,16.0,,off,,1.0,,3,bradybench_19,0.1,16.0,16.0,off,off,off,1.0,1.0,1.0,64.0,16.0,,,,,,,,,,,,,,,,,,,,,
6174743,0.12,0.03,0.07,0.03,0.0,,,16.0,,off,,1.0,,4,bradybench_19,0.12,16.0,128.0,off,off,off,1.0,1.0,1.0,64.0,16.0,,,,,,,,,,,,,,,,,,,,,
6789143,0.12,0.04,0.07,0.03,0.0,,,16.0,,off,,1.0,,5,bradybench_19,0.12,32.0,128.0,off,off,off,1.0,1.0,1.0,64.0,16.0,,,,,,,,,,,,,,,,,,,,,
7485143,0.08,0.02,0.07,0.0,0.0,,,16.0,,off,,1.0,,6,bradybench_19,0.08,32.0,128.0,off,off,off,1.0,1.0,1.0,32.0,16.0,,,,,,,,,,,,,,,,,,,,,
7485143,0.08,0.02,0.07,0.0,0.0,,,16.0,,off,,1.0,,7,bradybench_19,0.08,128.0,128.0,off,off,off,1.0,1.0,1.0,32.0,16.0,,,,,,,,,,,,,,,,,,,,,
6789143,0.12,0.04,0.07,0.03,0.0,,,16.0,,off,,1.0,,8,bradybench_19,0.12,128.0,128.0,off,off,off,1.0,1.0,1.0,64.0,16.0,,,,,,,,,,,,,,,,,,,,,
102827955736,0.01,0.0,0.12,0.0,0.0,1.0,1.0,1.0,1.0,off,off,1.0,1.0,0,cnn,0.12,1.0,1.0,off,off,off,1.0,1.0,1.0,1.0,1.0,1.0,off,off,1.0,1.0,1.0,1.0,,off,,off,,1.0,,1.0,1.0,1.0,off,off,1.0,1.0
2147483647,0.11,0.05,2.12,0.0,0.0,1.0,1.0,1.0,1.0,off,off,1.0,1.0,1,cnn,2.12,1.0,1.0,off,off,off,1.0,1.0,1.0,1.0,1.0,1.0,off,off,1.0,1.0,1.0,1.0,,off,,off,,1.0,,1.0,112.0,1.0,off,off,1.0,1.0
2147483647,0.11,0.05,2.12,0.0,0.0,1.0,1.0,1.0,1.0,off,off,1.0,1.0,2,cnn,2.12,1.0,1.0,off,off,off,1.0,1.0,1.0,1.0,1.0,1.0,off,off,1.0,1.0,1.0,1.0,,off,,off,,1.0,,1.0,112.0,8.0,off,off,1.0,1.0
2147483647,0.11,0.05,2.12,0.0,0.0,1.0,1.0,1.0,1.0,off,off,1.0,1.0,3,cnn,2.12,1.0,1.0,off,off,off,1.0,1.0,1.0,1.0,1.0,1.0,off,off,1.0,1.0,1.0,1.0,,off,,off,,1.0,,1.0,112.0,28.0,off,off,1.0,1.0
2147483647,0.11,0.05,2.12,0.0,0.0,1.0,32.0,1.0,1.0,off,off,1.0,1.0,4,cnn,2.12,1.0,1.0,off,off,off,1.0,1.0,1.0,1.0,1.0,1.0,off,off,1.0,1.0,1.0,1.0,,off,,off,,1.0,,1.0,112.0,28.0,off,off,1.0,1.0
2147483647,0.11,0.05,2.12,0.0,0.0,1.0,32.0,1.0,1.0,off,off,1.0,1.0,5,cnn,2.12,1.0,1.0,off,off,off,1.0,1.0,1.0,1.0,1.0,1.0,off,off,1.0,1.0,1.0,1.0,,off,,off,,1.0,,1.0,112.0,16.0,off,off,1.0,1.0
661089073110,0.02,0.01,0.3,0.0,0.0,1.0,32.0,1.0,1.0,off,off,1.0,1.0,6,cnn,0.3,1.0,1.0,off,off,off,1.0,1.0,1.0,1.0,1.0,1.0,off,off,1.0,1.0,1.0,1.0,,off,,off,,1.0,,1.0,14.0,16.0,off,off,1.0,1.0
586209562657,0.02,0.01,0.29,0.0,0.0,1.0,256.0,1.0,1.0,off,off,1.0,1.0,7,cnn,0.29,1.0,1.0,off,off,off,1.0,1.0,1.0,1.0,1.0,1.0,off,off,1.0,1.0,1.0,1.0,,off,,off,,1.0,,1.0,14.0,16.0,off,off,1.0,1.0
770356285473,0.02,0.01,0.29,0.0,0.0,1.0,256.0,1.0,1.0,off,off,1.0,1.0,8,cnn,0.29,1.0,1.0,off,off,off,1.0,1.0,1.0,1.0,1.0,1.0,off,off,1.0,1.0,1.0,1.0,,off,,off,,1.0,,1.0,14.0,28.0,off,off,1.0,1.0
