step,compilation time,cycles,lut utilization,FF utilization,BRAM utilization,DSP utilization,URAM utilization,__PARA__L0,__PARA__L0_0,__PARA__L0_1,__PARA__L0_1_0,__PARA__L0_2,__PARA__L0_2_0,__PARA__L0_3,__PARA__L0_3_0,__PIPE__L0,__PIPE__L0_1,__PIPE__L0_2,__PIPE__L0_3,__TILE__L0,__TILE__L0_1,__TILE__L0_2,__TILE__L0_3,pragma1,pragma2,pragma3,pragma4,pragma5,pragma6,pragma7,pragma8,pragma9,pragma10,pragma11,pragma12,pragma13,pragma14,pragma15,pragma16
23,40min 00sec,,,,,,,40.0,20.0,59.0,16.0,20.0,79.0,1.0,79.0,off,off,off,off,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
24,08min 49sec,185443 (0.799ms),277113 (23%),314338 (13%),138 (3%),1114 (16%),0 (~0%),40.0,20.0,59.0,16.0,1.0,79.0,1.0,79.0,off,off,off,off,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
25,40min 00sec,,,,,,,40.0,20.0,59.0,16.0,1.0,79.0,1.0,79.0,flatten,off,off,off,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
26,27min 09sec,205703 (0.887ms),1396420 (118%),1739089 (73%),138 (3%),6682 (97%),0 (~0%),40.0,20.0,59.0,16.0,6.0,79.0,1.0,79.0,off,off,off,off,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
27,07min 15sec,185443 (0.799ms),277113 (23%),314338 (13%),138 (3%),1114 (16%),0 (~0%),40.0,20.0,59.0,16.0,1.0,79.0,1.0,79.0,,off,off,off,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
28,40min 00sec,,,,,,,40.0,20.0,59.0,16.0,1.0,79.0,59.0,79.0,off,off,off,off,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
29,07min 39sec,38534 (0.166ms),309437 (26%),328405 (13%),120 (2%),1114 (16%),0 (~0%),40.0,20.0,1.0,16.0,1.0,79.0,1.0,79.0,off,off,off,off,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
30,08min 00sec,236083 (1.018ms),322325 (27%),355998 (15%),202 (4%),1339 (19%),0 (~0%),40.0,20.0,29.0,16.0,1.0,79.0,1.0,79.0,off,off,off,off,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
31,07min 13sec,185443 (0.799ms),277113 (23%),314338 (13%),138 (3%),1114 (16%),0 (~0%),40.0,20.0,59.0,16.0,1.0,79.0,1.0,79.0,off,off,off,off,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
32,03min 14sec,623205 (2.493ms),29831 (2%),26290 (1%),280 (6%),28 (~0%),0 (~0%),,,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
