compilation time,cycles,lut utilization,FF utilization,BRAM utilization,DSP utilization,URAM utilization,__PARA__L0,__PARA__L1,__PARA__L2,__PARA__L3,__PIPE__L0,__PIPE__L2,__TILE__L0,__TILE__L2
05min 25sec,193181 (0.773ms),28678 (2%),27195 (1%),222 (5%),176 (2%),8 (~0%),1,4,1,8,off,off,1,1
05min 25sec,202781 (0.811ms),27614 (2%),26215 (1%),222 (5%),176 (2%),8 (~0%),1,1,4,8,off,off,1,1
05min 43sec,769181 (3.287ms),18510 (1%),16757 (~0%),174 (4%),22 (~0%),8 (~0%),1,1,1,5,off,off,1,1
09min 24sec,75021 (0.317ms),117682 (9%),107530 (4%),222 (5%),292 (4%),8 (~0%),1,1,1,8,off,flatten,1,1
05min 39sec,216720 (0.867ms),31685 (2%),28254 (1%),190 (4%),176 (2%),8 (~0%),1,1,1,8,off,off,4,1
05min 36sec,407269 (1.629ms),29566 (2%),28640 (1%),190 (4%),176 (2%),8 (~0%),1,1,1,8,off,off,1,4
04min 42sec,293706 (1.175ms),22499 (1%),18376 (~0%),174 (4%),88 (1%),8 (~0%),8,1,1,4,off,off,1,1
04min 28sec,240381 (0.962ms),20882 (1%),19351 (~0%),158 (3%),88 (1%),8 (~0%),1,8,1,4,off,off,1,1
04min 07sec,116251 (0.465ms),22334 (1%),25417 (1%),186 (4%),104 (1%),8 (~0%),1,1,3,4,off,off,1,1
04min 13sec,341981 (1.368ms),16408 (1%),13602 (~0%),158 (3%),44 (~0%),8 (~0%),1,1,1,2,off,off,1,1
04min 42sec,293706 (1.175ms),22499 (1%),18376 (~0%),174 (4%),88 (1%),8 (~0%),1,1,1,4,off,off,8,1
04min 42sec,455269 (1.821ms),21858 (1%),20287 (~0%),126 (2%),88 (1%),8 (~0%),1,1,1,4,off,off,1,4
04min 41sec,236106 (0.944ms),30141 (2%),26730 (1%),238 (5%),176 (2%),8 (~0%),8,1,1,8,off,off,1,1
04min 47sec,200541 (0.829ms),28974 (2%),27136 (1%),222 (5%),176 (2%),8 (~0%),1,5,1,8,off,off,1,1
04min 07sec,68251 (0.273ms),28775 (2%),33392 (1%),250 (5%),192 (2%),0 (~0%),1,1,3,8,off,off,1,1
05min 49sec,188449 (0.754ms),51337 (4%),52726 (2%),262 (6%),340 (4%),8 (~0%),1,1,1,10,off,off,1,1
04min 42sec,207132 (0.829ms),31671 (2%),28242 (1%),190 (4%),176 (2%),8 (~0%),1,1,1,8,off,off,2,1
04min 41sec,538148 (2.153ms),43989 (3%),34303 (1%),218 (5%),192 (2%),8 (~0%),1,1,1,8,off,off,1,2
05min 04sec,305810 (1.223ms),22510 (1%),18395 (~0%),174 (4%),88 (1%),8 (~0%),10,1,1,4,off,off,1,1
05min 07sec,408289 (1.633ms),40243 (3%),42520 (1%),166 (3%),212 (3%),8 (~0%),1,10,1,4,off,off,1,1
04min 35sec,116249 (0.465ms),22239 (1%),25193 (1%),186 (4%),104 (1%),8 (~0%),1,1,5,4,off,off,1,1
04min 54sec,341981 (1.368ms),16408 (1%),13602 (~0%),158 (3%),44 (~0%),8 (~0%),1,1,1,2,off,off,1,1
05min 05sec,257532 (1.03ms),24023 (2%),19888 (~0%),126 (2%),88 (1%),8 (~0%),1,1,1,4,off,off,2,1
05min 04sec,455269 (1.821ms),21858 (1%),20287 (~0%),126 (2%),88 (1%),8 (~0%),1,1,1,4,off,off,1,4
05min 13sec,207132 (0.829ms),31671 (2%),28242 (1%),190 (4%),176 (2%),8 (~0%),2,1,1,8,off,off,1,1
05min 14sec,221538 (0.886ms),31705 (2%),28271 (1%),190 (4%),178 (2%),8 (~0%),5,1,1,8,off,off,1,1
04min 54sec,194781 (0.779ms),28558 (2%),26683 (1%),222 (5%),176 (2%),8 (~0%),1,2,1,8,off,off,1,1
04min 57sec,192381 (0.77ms),28388 (2%),27651 (1%),222 (5%),176 (2%),8 (~0%),1,8,1,8,off,off,1,1
05min 13sec,63485 (0.254ms),42989 (3%),32480 (1%),250 (5%),192 (2%),8 (~0%),1,1,2,8,off,off,1,1
04min 40sec,68249 (0.273ms),28671 (2%),33178 (1%),250 (5%),192 (2%),0 (~0%),1,1,5,8,off,off,1,1
05min 19sec,216720 (0.867ms),31685 (2%),28254 (1%),190 (4%),176 (2%),8 (~0%),1,1,1,8,off,off,4,1
04min 51sec,257532 (1.03ms),24023 (2%),19888 (~0%),126 (2%),88 (1%),8 (~0%),2,1,1,4,off,off,1,1
04min 39sec,342183 (1.369ms),22519 (1%),18404 (~0%),174 (4%),88 (1%),8 (~0%),16,1,1,4,off,off,1,1
04min 16sec,242781 (0.971ms),20929 (1%),18329 (~0%),158 (3%),88 (1%),8 (~0%),1,2,1,4,off,off,1,1
04min 22sec,242383 (0.97ms),25630 (2%),19959 (~0%),158 (3%),88 (1%),8 (~0%),1,4,1,4,off,off,1,1
04min 17sec,111341 (0.445ms),21387 (1%),18830 (~0%),142 (3%),104 (1%),4 (~0%),1,1,6,4,off,off,1,1
04min 09sec,341981 (1.368ms),16408 (1%),13602 (~0%),158 (3%),44 (~0%),8 (~0%),1,1,1,2,off,off,1,1
04min 49sec,257532 (1.03ms),24023 (2%),19888 (~0%),126 (2%),88 (1%),8 (~0%),1,1,1,4,off,off,2,1
04min 46sec,221538 (0.886ms),31705 (2%),28271 (1%),190 (4%),178 (2%),8 (~0%),5,1,1,8,off,off,1,1
04min 56sec,523489 (2.094ms),44813 (3%),46943 (1%),230 (5%),212 (3%),8 (~0%),1,10,1,8,off,off,1,1
04min 32sec,63341 (0.253ms),28467 (2%),26520 (1%),142 (3%),192 (2%),4 (~0%),1,1,6,8,off,off,1,1
04min 50sec,769181 (3.287ms),18510 (1%),16757 (~0%),174 (4%),22 (~0%),8 (~0%),1,1,1,5,off,off,1,1
05min 52sec,236106 (0.944ms),30141 (2%),26730 (1%),238 (5%),176 (2%),8 (~0%),1,1,1,8,off,off,8,1
04min 40sec,407269 (1.629ms),29566 (2%),28640 (1%),190 (4%),176 (2%),8 (~0%),1,1,1,8,off,off,1,4
06min 06sec,257532 (1.03ms),24023 (2%),19888 (~0%),126 (2%),88 (1%),8 (~0%),2,1,1,4,off,off,1,1
06min 07sec,269520 (1.078ms),24040 (2%),19900 (~0%),126 (2%),88 (1%),8 (~0%),4,1,1,4,off,off,1,1
05min 56sec,242383 (0.97ms),25630 (2%),19959 (~0%),158 (3%),88 (1%),8 (~0%),1,4,1,4,off,off,1,1
05min 58sec,240381 (0.962ms),20882 (1%),19351 (~0%),158 (3%),88 (1%),8 (~0%),1,8,1,4,off,off,1,1
06min 10sec,111341 (0.445ms),21449 (1%),18855 (~0%),142 (3%),104 (1%),4 (~0%),1,1,10,4,off,off,1,1
06min 10sec,250781 (1.003ms),20951 (1%),18155 (~0%),158 (3%),88 (1%),8 (~0%),1,1,12,4,off,off,1,1
06min 11sec,257532 (1.03ms),24023 (2%),19888 (~0%),126 (2%),88 (1%),8 (~0%),1,1,1,4,off,off,2,1
06min 10sec,455269 (1.821ms),21858 (1%),20287 (~0%),126 (2%),88 (1%),8 (~0%),1,1,1,4,off,off,1,4
06min 10sec,207132 (0.829ms),31671 (2%),28242 (1%),190 (4%),176 (2%),8 (~0%),2,1,1,8,off,off,1,1
06min 10sec,221538 (0.886ms),31705 (2%),28271 (1%),190 (4%),178 (2%),8 (~0%),5,1,1,8,off,off,1,1
06min 01sec,192381 (0.77ms),28388 (2%),27651 (1%),222 (5%),176 (2%),8 (~0%),1,8,1,8,off,off,1,1
06min 17sec,523489 (2.094ms),44813 (3%),46943 (1%),230 (5%),212 (3%),8 (~0%),1,10,1,8,off,off,1,1
06min 11sec,63341 (0.253ms),28524 (2%),26544 (1%),142 (3%),192 (2%),4 (~0%),1,1,10,8,off,off,1,1
06min 10sec,769181 (3.287ms),18510 (1%),16757 (~0%),174 (4%),22 (~0%),8 (~0%),1,1,1,5,off,off,1,1
06min 10sec,207132 (0.829ms),31671 (2%),28242 (1%),190 (4%),176 (2%),8 (~0%),1,1,1,8,off,off,2,1
07min 25sec,257532 (1.03ms),24023 (2%),19888 (~0%),126 (2%),88 (1%),8 (~0%),2,1,1,4,off,off,1,1
07min 24sec,242383 (0.97ms),25630 (2%),19959 (~0%),158 (3%),88 (1%),8 (~0%),1,4,1,4,off,off,1,1
07min 22sec,111341 (0.445ms),21387 (1%),18830 (~0%),142 (3%),104 (1%),4 (~0%),1,1,6,4,off,off,1,1
07min 22sec,769181 (3.287ms),18510 (1%),16757 (~0%),174 (4%),22 (~0%),8 (~0%),1,1,1,5,off,off,1,1
07min 25sec,257532 (1.03ms),24023 (2%),19888 (~0%),126 (2%),88 (1%),8 (~0%),1,1,1,4,off,off,2,1
07min 23sec,455269 (1.821ms),21858 (1%),20287 (~0%),126 (2%),88 (1%),8 (~0%),1,1,1,4,off,off,1,4
04min 42sec,639306 (2.557ms),15619 (1%),11770 (~0%),110 (2%),22 (~0%),16 (1%),8,1,1,1,off,off,1,1
07min 10sec,530781 (2.123ms),14043 (1%),11723 (~0%),94 (2%),22 (~0%),16 (1%),1,2,1,1,off,off,1,1
07min 19sec,399343 (1.597ms),19406 (1%),15157 (~0%),94 (2%),38 (~0%),16 (1%),1,1,2,1,off,off,1,1
07min 21sec,769181 (3.287ms),18510 (1%),16757 (~0%),174 (4%),22 (~0%),8 (~0%),1,1,1,5,off,off,1,1
07min 24sec,559932 (2.24ms),17149 (1%),13282 (~0%),62 (1%),22 (~0%),16 (1%),1,1,1,1,off,off,2,1
07min 15sec,872871 (3.491ms),20450 (1%),16083 (~0%),62 (1%),38 (~0%),16 (1%),1,1,1,1,off,off,1,2
06min 41sec,305810 (1.223ms),22510 (1%),18395 (~0%),174 (4%),88 (1%),8 (~0%),10,1,1,4,off,off,1,1
06min 38sec,342183 (1.369ms),22519 (1%),18404 (~0%),174 (4%),88 (1%),8 (~0%),16,1,1,4,off,off,1,1
06min 21sec,242383 (0.97ms),25630 (2%),19959 (~0%),158 (3%),88 (1%),8 (~0%),1,4,1,4,off,off,1,1
06min 23sec,240381 (0.962ms),20882 (1%),19351 (~0%),158 (3%),88 (1%),8 (~0%),1,8,1,4,off,off,1,1
04min 52sec,116249 (0.465ms),22239 (1%),25193 (1%),186 (4%),104 (1%),8 (~0%),1,1,5,4,off,off,1,1
06min 16sec,111341 (0.445ms),21449 (1%),18855 (~0%),142 (3%),104 (1%),4 (~0%),1,1,10,4,off,off,1,1
06min 41sec,257532 (1.03ms),24023 (2%),19888 (~0%),126 (2%),88 (1%),8 (~0%),1,1,1,4,off,off,2,1
06min 38sec,245810 (0.983ms),30152 (2%),26749 (1%),238 (5%),176 (2%),8 (~0%),10,1,1,8,off,off,1,1
06min 32sec,192381 (0.77ms),28388 (2%),27651 (1%),222 (5%),176 (2%),8 (~0%),1,8,1,8,off,off,1,1
05min 39sec,202781 (0.811ms),28580 (2%),26507 (1%),222 (5%),176 (2%),8 (~0%),1,1,12,8,off,off,1,1
06min 41sec,769181 (3.287ms),18510 (1%),16757 (~0%),174 (4%),22 (~0%),8 (~0%),1,1,1,5,off,off,1,1
06min 41sec,207132 (0.829ms),31671 (2%),28242 (1%),190 (4%),176 (2%),8 (~0%),1,1,1,8,off,off,2,1
06min 43sec,407269 (1.629ms),29566 (2%),28640 (1%),190 (4%),176 (2%),8 (~0%),1,1,1,8,off,off,1,4
07min 11sec,274638 (1.099ms),24077 (2%),20991 (~0%),126 (2%),90 (1%),8 (~0%),5,8,4,4,off,off,1,1
07min 10sec,292746 (1.171ms),22516 (1%),19450 (~0%),174 (4%),88 (1%),8 (~0%),8,8,4,4,off,off,1,1
07min 10sec,304810 (1.219ms),22527 (1%),19469 (~0%),174 (4%),88 (1%),8 (~0%),10,8,4,4,off,off,1,1
07min 22sec,277616 (1.147ms),24501 (2%),20117 (~0%),126 (2%),88 (1%),8 (~0%),4,5,4,4,off,off,1,1
07min 07sec,115016 (0.46ms),25687 (2%),21989 (~0%),110 (2%),104 (1%),4 (~0%),4,8,6,4,off,off,1,1
07min 14sec,215840 (0.863ms),31564 (2%),29268 (1%),190 (4%),176 (2%),8 (~0%),4,8,4,8,off,off,1,1
06min 59sec,248889 (0.996ms),21682 (1%),19677 (~0%),126 (2%),88 (1%),8 (~0%),4,8,4,4,off,off,4,1
06min 33sec,423354 (1.693ms),20038 (1%),20150 (~0%),218 (5%),38 (~0%),0 (~0%),2,1,3,1,off,off,1,1
06min 25sec,452688 (1.811ms),20288 (1%),20514 (~0%),218 (5%),40 (~0%),0 (~0%),5,1,3,1,off,off,1,1
06min 51sec,447288 (1.789ms),20916 (1%),21285 (~0%),218 (5%),40 (~0%),0 (~0%),5,4,3,1,off,off,1,1
06min 25sec,446388 (1.786ms),21145 (1%),23287 (~0%),218 (5%),72 (1%),0 (~0%),5,8,3,1,off,off,1,1
06min 58sec,598638 (2.395ms),17778 (1%),16627 (~0%),62 (1%),72 (1%),16 (1%),5,8,4,1,off,off,1,1
07min 03sec,382638 (1.531ms),20447 (1%),18017 (~0%),126 (2%),78 (1%),8 (~0%),5,8,4,2,off,off,1,1
60min 00sec,,,,,,,5,8,4,2,flatten,off,1,1
60min 00sec,,,,,,,5,8,4,2,flatten,off,4,1
05min 07sec,257532 (1.03ms),24023 (2%),19888 (~0%),126 (2%),88 (1%),8 (~0%),2,1,1,4,off,off,1,1
05min 06sec,269520 (1.078ms),24040 (2%),19900 (~0%),126 (2%),88 (1%),8 (~0%),4,1,1,4,off,off,1,1
04min 49sec,240381 (0.962ms),20882 (1%),19351 (~0%),158 (3%),88 (1%),8 (~0%),1,8,1,4,off,off,1,1
05min 06sec,408289 (1.633ms),40243 (3%),42520 (1%),166 (3%),212 (3%),8 (~0%),1,10,1,4,off,off,1,1
04min 14sec,116249 (0.465ms),22239 (1%),25193 (1%),186 (4%),104 (1%),8 (~0%),1,1,5,4,off,off,1,1
04min 34sec,341981 (1.368ms),16408 (1%),13602 (~0%),158 (3%),44 (~0%),8 (~0%),1,1,1,2,off,off,1,1
05min 04sec,257532 (1.03ms),24023 (2%),19888 (~0%),126 (2%),88 (1%),8 (~0%),1,1,1,4,off,off,2,1
05min 11sec,221538 (0.886ms),31705 (2%),28271 (1%),190 (4%),178 (2%),8 (~0%),5,1,1,8,off,off,1,1
05min 06sec,192381 (0.77ms),28388 (2%),27651 (1%),222 (5%),176 (2%),8 (~0%),1,8,1,8,off,off,1,1
05min 06sec,63341 (0.253ms),28524 (2%),26544 (1%),142 (3%),192 (2%),4 (~0%),1,1,10,8,off,off,1,1
05min 13sec,769181 (3.287ms),18510 (1%),16757 (~0%),174 (4%),22 (~0%),8 (~0%),1,1,1,5,off,off,1,1
05min 09sec,216720 (0.867ms),31685 (2%),28254 (1%),190 (4%),176 (2%),8 (~0%),1,1,1,8,off,off,4,1
05min 07sec,407269 (1.629ms),29566 (2%),28640 (1%),190 (4%),176 (2%),8 (~0%),1,1,1,8,off,off,1,4
04min 56sec,482184 (1.929ms),18504 (1%),18636 (~0%),266 (6%),38 (~0%),0 (~0%),8,1,3,1,off,off,1,1
04min 56sec,399451 (1.598ms),16963 (1%),18948 (~0%),250 (5%),38 (~0%),0 (~0%),1,4,3,1,off,off,1,1
05min 03sec,538781 (2.155ms),13111 (1%),11261 (~0%),94 (2%),22 (~0%),16 (1%),1,1,4,1,off,off,1,1
04min 57sec,212251 (0.849ms),18774 (1%),20801 (~0%),186 (4%),60 (~0%),4 (~0%),1,1,3,2,off,off,1,1
10min 13sec,58811 (0.267ms),101016 (8%),129948 (5%),250 (5%),234 (3%),6 (~0%),1,1,3,1,off,flatten,1,1
04min 57sec,442894 (1.772ms),20050 (1%),20161 (~0%),218 (5%),38 (~0%),0 (~0%),1,1,3,1,off,off,4,1
04min 57sec,492895 (1.972ms),18399 (1%),19825 (~0%),218 (5%),38 (~0%),0 (~0%),1,1,3,1,off,off,1,4
05min 23sec,245810 (0.983ms),30152 (2%),26749 (1%),238 (5%),176 (2%),8 (~0%),10,1,1,8,off,off,1,1
05min 11sec,192381 (0.77ms),28388 (2%),27651 (1%),222 (5%),176 (2%),8 (~0%),1,8,1,8,off,off,1,1
05min 10sec,63341 (0.253ms),28467 (2%),26520 (1%),142 (3%),192 (2%),4 (~0%),1,1,6,8,off,off,1,1
05min 35sec,769181 (3.287ms),18510 (1%),16757 (~0%),174 (4%),22 (~0%),8 (~0%),1,1,1,5,off,off,1,1
05min 29sec,216720 (0.867ms),31685 (2%),28254 (1%),190 (4%),176 (2%),8 (~0%),1,1,1,8,off,off,4,1
06min 23sec,324907 (1.3ms),40865 (3%),37027 (1%),318 (7%),176 (2%),16 (1%),1,1,1,8,off,off,1,8
05min 04sec,341981 (1.368ms),16408 (1%),13602 (~0%),158 (3%),44 (~0%),8 (~0%),1,1,1,2,off,off,1,1
06min 04sec,257532 (1.03ms),24023 (2%),19888 (~0%),126 (2%),88 (1%),8 (~0%),2,1,1,4,off,off,1,1
05min 41sec,242383 (0.97ms),25630 (2%),19959 (~0%),158 (3%),88 (1%),8 (~0%),1,4,1,4,off,off,1,1
05min 41sec,240381 (0.962ms),20882 (1%),19351 (~0%),158 (3%),88 (1%),8 (~0%),1,8,1,4,off,off,1,1
05min 47sec,111341 (0.445ms),21387 (1%),18830 (~0%),142 (3%),104 (1%),4 (~0%),1,1,6,4,off,off,1,1
05min 45sec,341981 (1.368ms),16408 (1%),13602 (~0%),158 (3%),44 (~0%),8 (~0%),1,1,1,2,off,off,1,1
06min 07sec,257532 (1.03ms),24023 (2%),19888 (~0%),126 (2%),88 (1%),8 (~0%),1,1,1,4,off,off,2,1
06min 02sec,221538 (0.886ms),31705 (2%),28271 (1%),190 (4%),178 (2%),8 (~0%),5,1,1,8,off,off,1,1
06min 04sec,192381 (0.77ms),28388 (2%),27651 (1%),222 (5%),176 (2%),8 (~0%),1,8,1,8,off,off,1,1
05min 54sec,63341 (0.253ms),28467 (2%),26520 (1%),142 (3%),192 (2%),4 (~0%),1,1,6,8,off,off,1,1
06min 11sec,769181 (3.287ms),18510 (1%),16757 (~0%),174 (4%),22 (~0%),8 (~0%),1,1,1,5,off,off,1,1
06min 06sec,207132 (0.829ms),31671 (2%),28242 (1%),190 (4%),176 (2%),8 (~0%),1,1,1,8,off,off,2,1
06min 05sec,407269 (1.629ms),29566 (2%),28640 (1%),190 (4%),176 (2%),8 (~0%),1,1,1,8,off,off,1,4
04min 12sec,257532 (1.03ms),24023 (2%),19888 (~0%),126 (2%),88 (1%),8 (~0%),2,1,1,4,off,off,1,1
04min 00sec,242383 (0.97ms),25630 (2%),19959 (~0%),158 (3%),88 (1%),8 (~0%),1,4,1,4,off,off,1,1
03min 35sec,116249 (0.465ms),22239 (1%),25193 (1%),186 (4%),104 (1%),8 (~0%),1,1,5,4,off,off,1,1
04min 43sec,197981 (0.792ms),28057 (2%),26424 (1%),222 (5%),176 (2%),8 (~0%),1,1,1,8,off,off,1,1
04min 12sec,257532 (1.03ms),24023 (2%),19888 (~0%),126 (2%),88 (1%),8 (~0%),1,1,1,4,off,off,2,1
03min 58sec,455269 (1.821ms),21858 (1%),20287 (~0%),126 (2%),88 (1%),8 (~0%),1,1,1,4,off,off,1,4
04min 11sec,221538 (0.886ms),31705 (2%),28271 (1%),190 (4%),178 (2%),8 (~0%),5,1,1,8,off,off,1,1
04min 10sec,192381 (0.77ms),28388 (2%),27651 (1%),222 (5%),176 (2%),8 (~0%),1,8,1,8,off,off,1,1
04min 06sec,63341 (0.253ms),28524 (2%),26544 (1%),142 (3%),192 (2%),4 (~0%),1,1,10,8,off,off,1,1
04min 12sec,769181 (3.287ms),18510 (1%),16757 (~0%),174 (4%),22 (~0%),8 (~0%),1,1,1,5,off,off,1,1
04min 12sec,207132 (0.829ms),31671 (2%),28242 (1%),190 (4%),176 (2%),8 (~0%),1,1,1,8,off,off,2,1
04min 11sec,407269 (1.629ms),29566 (2%),28640 (1%),190 (4%),176 (2%),8 (~0%),1,1,1,8,off,off,1,4
04min 00sec,257532 (1.03ms),24023 (2%),19888 (~0%),126 (2%),88 (1%),8 (~0%),2,1,1,4,off,off,1,1
03min 52sec,269520 (1.078ms),24040 (2%),19900 (~0%),126 (2%),88 (1%),8 (~0%),4,1,1,4,off,off,1,1
03min 51sec,242383 (0.97ms),25630 (2%),19959 (~0%),158 (3%),88 (1%),8 (~0%),1,4,1,4,off,off,1,1
03min 55sec,240381 (0.962ms),20882 (1%),19351 (~0%),158 (3%),88 (1%),8 (~0%),1,8,1,4,off,off,1,1
03min 37sec,116251 (0.465ms),22334 (1%),25417 (1%),186 (4%),104 (1%),8 (~0%),1,1,3,4,off,off,1,1
03min 38sec,116249 (0.465ms),22239 (1%),25193 (1%),186 (4%),104 (1%),8 (~0%),1,1,5,4,off,off,1,1
04min 09sec,245810 (0.983ms),30152 (2%),26749 (1%),238 (5%),176 (2%),8 (~0%),10,1,1,8,off,off,1,1
03min 53sec,192381 (0.77ms),28388 (2%),27651 (1%),222 (5%),176 (2%),8 (~0%),1,8,1,8,off,off,1,1
03min 57sec,63341 (0.253ms),28467 (2%),26520 (1%),142 (3%),192 (2%),4 (~0%),1,1,6,8,off,off,1,1
05min 49sec,188449 (0.754ms),51337 (4%),52726 (2%),262 (6%),340 (4%),8 (~0%),1,1,1,10,off,off,1,1
09min 24sec,75021 (0.317ms),117682 (9%),107530 (4%),222 (5%),292 (4%),8 (~0%),1,1,1,8,off,flatten,1,1
04min 09sec,207132 (0.829ms),31671 (2%),28242 (1%),190 (4%),176 (2%),8 (~0%),1,1,1,8,off,off,2,1
04min 02sec,407269 (1.629ms),29566 (2%),28640 (1%),190 (4%),176 (2%),8 (~0%),1,1,1,8,off,off,1,4
05min 31sec,257532 (1.03ms),24023 (2%),19888 (~0%),126 (2%),88 (1%),8 (~0%),2,1,1,4,off,off,1,1
04min 53sec,242383 (0.97ms),25630 (2%),19959 (~0%),158 (3%),88 (1%),8 (~0%),1,4,1,4,off,off,1,1
04min 54sec,240381 (0.962ms),20882 (1%),19351 (~0%),158 (3%),88 (1%),8 (~0%),1,8,1,4,off,off,1,1
04min 49sec,116249 (0.465ms),22239 (1%),25193 (1%),186 (4%),104 (1%),8 (~0%),1,1,5,4,off,off,1,1
04min 54sec,341981 (1.368ms),16408 (1%),13602 (~0%),158 (3%),44 (~0%),8 (~0%),1,1,1,2,off,off,1,1
05min 28sec,257532 (1.03ms),24023 (2%),19888 (~0%),126 (2%),88 (1%),8 (~0%),1,1,1,4,off,off,2,1
05min 23sec,455269 (1.821ms),21858 (1%),20287 (~0%),126 (2%),88 (1%),8 (~0%),1,1,1,4,off,off,1,4
05min 35sec,221538 (0.886ms),31705 (2%),28271 (1%),190 (4%),178 (2%),8 (~0%),5,1,1,8,off,off,1,1
05min 27sec,192381 (0.77ms),28388 (2%),27651 (1%),222 (5%),176 (2%),8 (~0%),1,8,1,8,off,off,1,1
05min 41sec,523489 (2.094ms),44813 (3%),46943 (1%),230 (5%),212 (3%),8 (~0%),1,10,1,8,off,off,1,1
04min 43sec,68249 (0.273ms),28671 (2%),33178 (1%),250 (5%),192 (2%),0 (~0%),1,1,5,8,off,off,1,1
05min 37sec,769181 (3.287ms),18510 (1%),16757 (~0%),174 (4%),22 (~0%),8 (~0%),1,1,1,5,off,off,1,1
09min 24sec,75021 (0.317ms),117682 (9%),107530 (4%),222 (5%),292 (4%),8 (~0%),1,1,1,8,off,flatten,1,1
05min 37sec,207132 (0.829ms),31671 (2%),28242 (1%),190 (4%),176 (2%),8 (~0%),1,1,1,8,off,off,2,1
04min 37sec,257532 (1.03ms),24023 (2%),19888 (~0%),126 (2%),88 (1%),8 (~0%),2,1,1,4,off,off,1,1
04min 37sec,269520 (1.078ms),24040 (2%),19900 (~0%),126 (2%),88 (1%),8 (~0%),4,1,1,4,off,off,1,1
04min 27sec,242383 (0.97ms),25630 (2%),19959 (~0%),158 (3%),88 (1%),8 (~0%),1,4,1,4,off,off,1,1
04min 51sec,248541 (1.027ms),21345 (1%),18782 (~0%),158 (3%),88 (1%),8 (~0%),1,5,1,4,off,off,1,1
04min 36sec,111341 (0.445ms),21449 (1%),18855 (~0%),142 (3%),104 (1%),4 (~0%),1,1,10,4,off,off,1,1
04min 29sec,111341 (0.445ms),21387 (1%),18830 (~0%),142 (3%),104 (1%),4 (~0%),1,1,6,4,off,off,1,1
04min 37sec,257532 (1.03ms),24023 (2%),19888 (~0%),126 (2%),88 (1%),8 (~0%),1,1,1,4,off,off,2,1
04min 51sec,245810 (0.983ms),30152 (2%),26749 (1%),238 (5%),176 (2%),8 (~0%),10,1,1,8,off,off,1,1
04min 39sec,192381 (0.77ms),28388 (2%),27651 (1%),222 (5%),176 (2%),8 (~0%),1,8,1,8,off,off,1,1
04min 34sec,63341 (0.253ms),28467 (2%),26520 (1%),142 (3%),192 (2%),4 (~0%),1,1,6,8,off,off,1,1
04min 52sec,769181 (3.287ms),18510 (1%),16757 (~0%),174 (4%),22 (~0%),8 (~0%),1,1,1,5,off,off,1,1
80min 00sec,,,,,,,1,1,1,8,flatten,off,1,1
04min 52sec,207132 (0.829ms),31671 (2%),28242 (1%),190 (4%),176 (2%),8 (~0%),1,1,1,8,off,off,2,1
04min 36sec,407269 (1.629ms),29566 (2%),28640 (1%),190 (4%),176 (2%),8 (~0%),1,1,1,8,off,off,1,4
04min 38sec,245981 (0.984ms),20428 (1%),18070 (~0%),158 (3%),88 (1%),8 (~0%),1,1,1,4,off,off,1,1
04min 02sec,257532 (1.03ms),24023 (2%),19888 (~0%),126 (2%),88 (1%),8 (~0%),2,1,1,4,off,off,1,1
03min 53sec,269520 (1.078ms),24040 (2%),19900 (~0%),126 (2%),88 (1%),8 (~0%),4,1,1,4,off,off,1,1
03min 58sec,242383 (0.97ms),25630 (2%),19959 (~0%),158 (3%),88 (1%),8 (~0%),1,4,1,4,off,off,1,1
04min 07sec,248541 (1.027ms),21345 (1%),18782 (~0%),158 (3%),88 (1%),8 (~0%),1,5,1,4,off,off,1,1
03min 48sec,111341 (0.445ms),21387 (1%),18830 (~0%),142 (3%),104 (1%),4 (~0%),1,1,6,4,off,off,1,1
03min 54sec,111341 (0.445ms),21449 (1%),18855 (~0%),142 (3%),104 (1%),4 (~0%),1,1,10,4,off,off,1,1
03min 58sec,455269 (1.821ms),21858 (1%),20287 (~0%),126 (2%),88 (1%),8 (~0%),1,1,1,4,off,off,1,4
04min 08sec,221538 (0.886ms),31705 (2%),28271 (1%),190 (4%),178 (2%),8 (~0%),5,1,1,8,off,off,1,1
04min 07sec,245810 (0.983ms),30152 (2%),26749 (1%),238 (5%),176 (2%),8 (~0%),10,1,1,8,off,off,1,1
03min 58sec,192381 (0.77ms),28388 (2%),27651 (1%),222 (5%),176 (2%),8 (~0%),1,8,1,8,off,off,1,1
04min 11sec,523489 (2.094ms),44813 (3%),46943 (1%),230 (5%),212 (3%),8 (~0%),1,10,1,8,off,off,1,1
03min 58sec,63341 (0.253ms),28524 (2%),26544 (1%),142 (3%),192 (2%),4 (~0%),1,1,10,8,off,off,1,1
09min 24sec,75021 (0.317ms),117682 (9%),107530 (4%),222 (5%),292 (4%),8 (~0%),1,1,1,8,off,flatten,1,1
04min 08sec,207132 (0.829ms),31671 (2%),28242 (1%),190 (4%),176 (2%),8 (~0%),1,1,1,8,off,off,2,1
03min 51sec,197981 (0.792ms),28057 (2%),26424 (1%),222 (5%),176 (2%),8 (~0%),1,1,1,8,off,off,1,60
03min 53sec,257532 (1.03ms),24023 (2%),19888 (~0%),126 (2%),88 (1%),8 (~0%),2,1,1,4,off,off,1,1
03min 49sec,269520 (1.078ms),24040 (2%),19900 (~0%),126 (2%),88 (1%),8 (~0%),4,1,1,4,off,off,1,1
