compilation time,cycles,lut utilization,FF utilization,BRAM utilization,DSP utilization,URAM utilization,__PARA__L0,__PARA__L1,__PARA__L2,__PIPE__L0,__PIPE__L1,__TILE__L0,__TILE__L1
03min 02sec,1365139 (5.461ms),7694 (~0%),6761 (~0%),108 (2%),11 (~0%),0 (~0%),1,1,1,off,off,1,1
04min 32sec,1780217 (7.121ms),9365 (~0%),8146 (~0%),124 (2%),11 (~0%),0 (~0%),16,1,1,off,off,1,1
04min 29sec,2136122 (8.613ms),9374 (~0%),8146 (~0%),124 (2%),11 (~0%),0 (~0%),32,1,1,off,off,1,1
04min 16sec,1365139 (5.461ms),7694 (~0%),6761 (~0%),108 (2%),11 (~0%),0 (~0%),64,1,1,off,off,1,1
04min 32sec,1707915 (6.832ms),10902 (~0%),13312 (~0%),92 (2%),11 (~0%),0 (~0%),1,16,1,off,off,1,1
05min 07sec,214163 (0.915ms),49041 (4%),41732 (1%),140 (3%),104 (1%),0 (~0%),1,1,32,off,off,1,1
04min 46sec,230547 (0.922ms),28003 (2%),23964 (1%),108 (2%),56 (~0%),0 (~0%),1,1,16,off,off,1,1
43min 55sec,1275 (0.005ms),3321072 (280%),4434481 (187%),60 (1%),44864 (655%),0 (~0%),1,1,1,flatten,off,1,1
05min 32sec,5307 (0.021ms),119438 (10%),111737 (4%),76 (1%),701 (10%),0 (~0%),1,1,1,off,flatten,1,1
